poblacion,provincia,edad,genero,grupo_edad,vivienda,horario_laboral,experiencia_animales,tiempo_disponible,tipo_animal,devuelto,perfil_adoptante,apto,lat,lon,the_geom,display_name,geocode_resolution
Madrid,madrid,43,Mujer,35–44,Piso,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Toledo,toledo,20,Hombre,18–24,Piso,Turno Rotativo,Media,2–5h,gato,no,Joven urbano,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Galapagos,guadalajara,49,Mujer,45–54,Casa/Chalet,Turno Rotativo,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.696359,-3.3387789,POINT(-3.3387789 40.696359),"Galápagos, Guadalajara, Castilla-La Mancha, España",locality
Madrid,madrid,20,Hombre,18–24,Atico,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Vigo,pontevedra,19,Mujer,18–24,Casa/Chalet,Jornada Parcial (Tarde),Alta,2–5h,perro,no,Adulto experimentado,Sí,42.2376602,-8.7247205,POINT(-8.7247205 42.2376602),"Vigo, Pontevedra, Galicia, España",locality
Madrid,madrid,30,Mujer,25–34,Vivienda compartida,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Fuenlabrada,madrid,21,Hombre,18–24,Piso,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Chiva,valencia,36,Hombre,35–44,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,39.4726098,-0.7178348,POINT(-0.7178348 39.4726098),"Chiva, La Hoya de Buñol, Valencia, Comunidad Valenciana, 46370, España",locality
Madrid,madrid,36,Mujer,35–44,Vivienda compartida,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Mendavia,navarra,20,Mujer,18–24,Piso,Turno Rotativo,Media,<1–2h,perro,no,Adulto experimentado,Sí,42.4443874,-2.2002884,POINT(-2.2002884 42.4443874),"Mendavia, Tierra Estella, Navarra, 31587, España",locality
Madrid,madrid,34,Mujer,25–34,Piso,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Getafe,madrid,21,Mujer,18–24,Piso,Jornada Parcial (Manana),Alta,<1–2h,perro,no,Adulto experimentado,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Madrid,madrid,39,Hombre,35–44,Piso,Turno Rotativo,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Parla,madrid,36,Hombre,35–44,Piso,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
Fuencarral,madrid,27,Mujer,25–34,Piso,Turno Rotativo,Media,>5h,perro,no,Joven urbano,Sí,40.426213,-3.7009931,POINT(-3.7009931 40.426213),"Fuencarral, Calle de Barceló, Chueca, Justicia, Centro, Madrid, Comunidad de Madrid, 28004, España",locality
Fernan Nunez,cordoba,52,Mujer,45–54,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,37.669931,-4.7253088,POINT(-4.7253088 37.669931),"Fernán-Núñez, Córdoba, Andalucía, España",locality
Pinto,madrid,31,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.240985,-3.7005072,POINT(-3.7005072 40.240985),"Pinto, Comunidad de Madrid, 28320, España",locality
Madrid,madrid,18,Mujer,18–24,Vivienda compartida,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
